example of how to read this (using the first line): 12.67% of +1/+1 counter tagged decks have the selesnya tag

~~~~~+1/+1 Counters~~~~~
    Mono Red: 4.19%
    Esper (WUB): 4.07%
    Simic (GU): 4.0%
    Sultai (BGU): 3.84%
    Rakdos (BR): 3.52%
    Jeskai (URW): 3.03%
    Temur (GUR): 2.92%
    Azorius (WU) : 2.86%
    Mono Green: 2.74%
    Jund (BRG): 2.74%
    Mardu (RWB): 2.71%
    Boros (RW): 2.52%
    Orzhov (WB): 2.49%
    Abzan (WBG): 2.3%
    Gruul (RG): 2.3%
    Selesnya (GW): 2.14%
    Naya (RGW): 2.1%
    Bant (GWU): 2.01%
    Artifice (WUBR): 1.59%
    Mono White: 1.55%
    Altruism (WURG): 0.89%
    Growth (WUBG): 0.8%
    Chaos (UBRG): 0.75%
    Aggression (WBRG): 0.57%
~~~~~Midrange~~~~~
    Five Color (WUBRG): 6.41%
    Sultai (BGU): 5.64%
    Simic (GU): 5.09%
    Golgari (BG): 4.97%
    Dimir (UB): 4.51%
    Esper (WUB): 4.47%
    Grixis (UBR): 4.39%
    Temur (GUR): 4.35%
    Mardu (RWB): 3.9%
    Gruul (RG): 3.82%
    Jund (BRG): 3.68%
    Rakdos (BR): 3.68%
    Abzan (WBG): 3.5%
    Mono Black: 3.38%
    Orzhov (WB): 3.34%
    Bant (GWU): 3.25%
    Selesnya (GW): 3.05%
    Izzet (UR): 2.97%
    Naya (RGW): 2.97%
    Azorius (WU) : 2.87%
    Mono Green: 2.47%
    Growth (WUBG): 2.18%
    Boros (RW): 2.08%
    Mono Blue: 2.04%
    Jeskai (URW): 2.0%
    Mono White: 1.8%
    Mono Red: 1.72%
    Artifice (WUBR): 1.29%
    Altruism (WURG): 1.25%
    Chaos (UBRG): 1.23%
    Aggression (WBRG): 0.77%
~~~~~Voltron~~~~~
    Boros (RW): 11.67%
    Mono White: 8.25%
    Bant (GWU): 6.7%
    Mardu (RWB): 5.1%
    Selesnya (GW): 4.46%
    Golgari (BG): 4.38%
    Mono Green: 4.3%
    Azorius (WU) : 3.9%
    Mono Red: 3.5%
    Jeskai (URW): 3.44%
    Naya (RGW): 2.99%
    Gruul (RG): 2.91%
    Orzhov (WB): 2.51%
    Izzet (UR): 2.46%
    Mono Black: 2.43%
    Rakdos (BR): 2.32%
    Esper (WUB): 2.3%
    Temur (GUR): 2.3%
    Sultai (BGU): 2.27%
    Mono Blue: 1.95%
    Jund (BRG): 1.9%
    Grixis (UBR): 1.9%
    Dimir (UB): 1.79%
    Simic (GU): 1.55%
    Five Color (WUBRG): 1.52%
    Abzan (WBG): 1.44%
    Artifice (WUBR): 0.48%
    Growth (WUBG): 0.37%
    Aggression (WBRG): 0.32%
    Altruism (WURG): 0.21%
    Chaos (UBRG): 0.21%
~~~~~Dredge~~~~~
    Golgari (BG): 36.16%
    Sultai (BGU): 20.71%
    Abzan (WBG): 12.56%
    Jund (BRG): 5.77%
    Dimir (UB): 5.6%
    Mono Black: 4.24%
    Rakdos (BR): 3.06%
    Simic (GU): 2.89%
    Grixis (UBR): 2.21%
    Five Color (WUBRG): 1.7%
    Mardu (RWB): 1.53%
    Orzhov (WB): 1.53%
    Mono Green: 1.36%
    Mono Blue: 1.19%
    Esper (WUB): 1.19%
    Gruul (RG): 1.19%
    Growth (WUBG): 1.02%
    Mono Red: 1.02%
    Jeskai (URW): 1.02%
    Selesnya (GW): 1.02%
    Aggression (WBRG): 0.85%
    Altruism (WURG): 0.85%
    Chaos (UBRG): 0.85%
    Azorius (WU) : 0.85%
    Boros (RW): 0.85%
    Izzet (UR): 0.85%
    Naya (RGW): 0.85%
    Bant (GWU): 0.85%
    Artifice (WUBR): 0.68%
    Temur (GUR): 0.68%
    Mono White: 0.68%
~~~~~Extra Turns~~~~~
    Simic (GU): 12.22%
    Mono Blue: 11.33%
    Dimir (UB): 9.46%
    Esper (WUB): 9.37%
    Grixis (UBR): 8.92%
    Azorius (WU) : 8.21%
    Izzet (UR): 6.69%
    Temur (GUR): 6.69%
    Jeskai (URW): 6.16%
    Five Color (WUBRG): 4.55%
    Artifice (WUBR): 2.77%
    Boros (RW): 2.5%
    Bant (GWU): 2.23%
    Chaos (UBRG): 1.61%
    Sultai (BGU): 1.34%
    Rakdos (BR): 0.98%
    Altruism (WURG): 0.89%
    Growth (WUBG): 0.89%
    Mono Black: 0.89%
    Mardu (RWB): 0.8%
    Aggression (WBRG): 0.71%
    Selesnya (GW): 0.71%
    Mono Red: 0.62%
    Golgari (BG): 0.62%
    Orzhov (WB): 0.54%
    Jund (BRG): 0.45%
    Mono White: 0.45%
    Abzan (WBG): 0.45%
    Naya (RGW): 0.45%
    Mono Green: 0.36%
    Gruul (RG): 0.36%
~~~~~Infect~~~~~
    Mono Green: 13.28%
    Growth (WUBG): 9.44%
    Mono Black: 8.45%
    Sultai (BGU): 8.23%
    Golgari (BG): 8.01%
    Simic (GU): 5.93%
    Dimir (UB): 5.6%
    Rakdos (BR): 3.84%
    Grixis (UBR): 3.51%
    Mono Blue: 3.29%
    Bant (GWU): 2.74%
    Jund (BRG): 2.52%
    Aggression (WBRG): 2.41%
    Mardu (RWB): 2.09%
    Esper (WUB): 2.09%
    Five Color (WUBRG): 1.98%
    Boros (RW): 1.87%
    Orzhov (WB): 1.65%
    Selesnya (GW): 1.65%
    Gruul (RG): 1.43%
    Abzan (WBG): 1.32%
    Temur (GUR): 1.21%
    Naya (RGW): 1.1%
    Azorius (WU) : 0.99%
    Artifice (WUBR): 0.77%
    Mono Red: 0.77%
    Izzet (UR): 0.66%
    Mono White: 0.66%
    Chaos (UBRG): 0.55%
    Altruism (WURG): 0.44%
    Jeskai (URW): 0.44%
~~~~~Artifacts~~~~~
    Boros (RW): 10.78%
    Izzet (UR): 7.93%
    Esper (WUB): 7.59%
    Mono Blue: 7.12%
    Azorius (WU) : 6.85%
    Mono Red: 6.79%
    Rakdos (BR): 4.71%
    Artifice (WUBR): 4.3%
    Mono White: 3.51%
    Mardu (RWB): 3.44%
    Golgari (BG): 2.58%
    Dimir (UB): 2.44%
    Grixis (UBR): 2.39%
    Gruul (RG): 2.29%
    Mono Black: 2.15%
    Jeskai (URW): 2.15%
    Simic (GU): 1.98%
    Five Color (WUBRG): 1.81%
    Jund (BRG): 1.7%
    Orzhov (WB): 1.69%
    Bant (GWU): 1.15%
    Selesnya (GW): 0.79%
    Temur (GUR): 0.76%
    Mono Green: 0.69%
    Sultai (BGU): 0.64%
    Abzan (WBG): 0.52%
    Naya (RGW): 0.41%
    Aggression (WBRG): 0.34%
    Growth (WUBG): 0.34%
    Altruism (WURG): 0.29%
    Chaos (UBRG): 0.22%
~~~~~Auras~~~~~
    Bant (GWU): 15.33%
    Mono White: 14.86%
    Selesnya (GW): 9.65%
    Gruul (RG): 6.23%
    Boros (RW): 5.84%
    Naya (RGW): 5.84%
    Azorius (WU) : 5.76%
    Orzhov (WB): 5.29%
    Esper (WUB): 4.59%
    Simic (GU): 4.36%
    Mono Green: 3.11%
    Grixis (UBR): 2.57%
    Sultai (BGU): 2.18%
    Mardu (RWB): 1.71%
    Five Color (WUBRG): 1.71%
    Jeskai (URW): 1.32%
    Mono Blue: 1.25%
    Golgari (BG): 1.25%
    Abzan (WBG): 1.09%
    Dimir (UB): 0.86%
    Mono Red: 0.78%
    Aggression (WBRG): 0.7%
    Rakdos (BR): 0.7%
    Jund (BRG): 0.62%
    Izzet (UR): 0.62%
    Temur (GUR): 0.54%
    Mono Black: 0.47%
    Altruism (WURG): 0.39%
    Chaos (UBRG): 0.39%
    Artifice (WUBR): 0.39%
    Growth (WUBG): 0.31%
~~~~~Burn~~~~~
    Mono Red: 27.05%
    Rakdos (BR): 14.2%
    Izzet (UR): 11.45%
    Boros (RW): 7.1%
    Gruul (RG): 7.05%
    Jund (BRG): 5.13%
    Grixis (UBR): 4.4%
    Jeskai (URW): 2.64%
    Dimir (UB): 2.49%
    Mardu (RWB): 2.18%
    Temur (GUR): 1.66%
    Mono Black: 1.55%
    Naya (RGW): 1.45%
    Golgari (BG): 1.4%
    Five Color (WUBRG): 1.3%
    Orzhov (WB): 1.24%
    Esper (WUB): 0.88%
    Chaos (UBRG): 0.83%
    Altruism (WURG): 0.78%
    Artifice (WUBR): 0.67%
    Sultai (BGU): 0.52%
    Mono Green: 0.36%
    Azorius (WU) : 0.36%
    Mono Blue: 0.36%
    Simic (GU): 0.36%
    Aggression (WBRG): 0.31%
    Bant (GWU): 0.31%
    Mono White: 0.26%
    Abzan (WBG): 0.26%
    Selesnya (GW): 0.26%
    Growth (WUBG): 0.21%
~~~~~Colorless~~~~~
    Five Color (WUBRG): 5.35%
    Izzet (UR): 4.75%
    Mono Blue: 3.96%
    Golgari (BG): 3.96%
    Azorius (WU) : 3.56%
    Boros (RW): 3.56%
    Rakdos (BR): 3.56%
    Mono Red: 2.97%
    Dimir (UB): 2.57%
    Esper (WUB): 2.57%
    Simic (GU): 2.38%
    Mono White: 2.38%
    Artifice (WUBR): 2.18%
    Temur (GUR): 1.98%
    Mono Green: 1.78%
    Mono Black: 1.58%
    Mardu (RWB): 1.58%
    Gruul (RG): 1.58%
    Jund (BRG): 1.39%
    Grixis (UBR): 1.39%
    Orzhov (WB): 1.39%
    Bant (GWU): 1.39%
    Aggression (WBRG): 1.19%
    Abzan (WBG): 1.19%
    Sultai (BGU): 1.19%
    Altruism (WURG): 0.99%
    Growth (WUBG): 0.99%
    Chaos (UBRG): 0.99%
    Jeskai (URW): 0.99%
    Naya (RGW): 0.99%
    Selesnya (GW): 0.99%
~~~~~Enchantments~~~~~
    Selesnya (GW): 13.04%
    Five Color (WUBRG): 11.35%
    Bant (GWU): 11.17%
    Esper (WUB): 9.42%
    Mono White: 5.05%
    Sultai (BGU): 4.29%
    Abzan (WBG): 4.23%
    Azorius (WU) : 4.0%
    Mardu (RWB): 3.53%
    Orzhov (WB): 3.35%
    Naya (RGW): 3.35%
    Gruul (RG): 2.51%
    Grixis (UBR): 2.45%
    Simic (GU): 2.39%
    Boros (RW): 1.75%
    Jeskai (URW): 1.6%
    Mono Green: 1.4%
    Golgari (BG): 1.28%
    Growth (WUBG): 1.14%
    Mono Black: 1.14%
    Rakdos (BR): 1.11%
    Dimir (UB): 1.02%
    Mono Blue: 0.82%
    Jund (BRG): 0.79%
    Mono Red: 0.73%
    Aggression (WBRG): 0.47%
    Altruism (WURG): 0.47%
    Izzet (UR): 0.47%
    Temur (GUR): 0.38%
    Chaos (UBRG): 0.26%
    Artifice (WUBR): 0.2%
~~~~~Equipment~~~~~
    Boros (RW): 22.88%
    Mardu (RWB): 12.1%
    Mono White: 7.45%
    Bant (GWU): 7.31%
    Mono Red: 5.34%
    Selesnya (GW): 4.92%
    Gruul (RG): 3.84%
    Azorius (WU) : 2.72%
    Esper (WUB): 2.72%
    Grixis (UBR): 2.63%
    Jeskai (URW): 2.53%
    Mono Green: 2.44%
    Naya (RGW): 2.44%
    Mono Black: 1.92%
    Mono Blue: 1.78%
    Golgari (BG): 1.78%
    Orzhov (WB): 1.78%
    Izzet (UR): 1.55%
    Five Color (WUBRG): 1.03%
    Dimir (UB): 0.89%
    Rakdos (BR): 0.84%
    Aggression (WBRG): 0.75%
    Artifice (WUBR): 0.75%
    Temur (GUR): 0.7%
    Abzan (WBG): 0.7%
    Jund (BRG): 0.56%
    Simic (GU): 0.56%
    Altruism (WURG): 0.42%
    Sultai (BGU): 0.33%
    Growth (WUBG): 0.28%
    Chaos (UBRG): 0.28%
~~~~~Extra Combats~~~~~
    Gruul (RG): 19.05%
    Mono Red: 14.05%
    Boros (RW): 13.7%
    Mardu (RWB): 11.68%
    Five Color (WUBRG): 11.24%
    Rakdos (BR): 4.74%
    Naya (RGW): 4.3%
    Jeskai (URW): 3.86%
    Temur (GUR): 3.69%
    Izzet (UR): 3.6%
    Grixis (UBR): 2.63%
    Aggression (WBRG): 2.46%
    Jund (BRG): 2.46%
    Altruism (WURG): 0.88%
    Artifice (WUBR): 0.79%
    Esper (WUB): 0.7%
    Bant (GWU): 0.61%
    Selesnya (GW): 0.61%
    Mono Green: 0.53%
    Mono Black: 0.53%
    Mono Blue: 0.53%
    Simic (GU): 0.53%
    Orzhov (WB): 0.53%
    Dimir (UB): 0.44%
    Azorius (WU) : 0.44%
    Mono White: 0.44%
    Abzan (WBG): 0.44%
    Growth (WUBG): 0.35%
    Chaos (UBRG): 0.35%
    Golgari (BG): 0.35%
    Sultai (BGU): 0.35%
~~~~~Flying~~~~~
    Azorius (WU) : 17.46%
    Five Color (WUBRG): 11.34%
    Esper (WUB): 10.63%
    Mono White: 8.44%
    Mono Blue: 6.25%
    Mardu (RWB): 5.86%
    Temur (GUR): 5.67%
    Orzhov (WB): 4.25%
    Izzet (UR): 4.19%
    Jeskai (URW): 3.41%
    Rakdos (BR): 3.09%
    Gruul (RG): 2.58%
    Bant (GWU): 2.45%
    Dimir (UB): 2.26%
    Boros (RW): 2.06%
    Mono Red: 1.8%
    Mono Black: 1.48%
    Simic (GU): 1.48%
    Selesnya (GW): 1.48%
    Jund (BRG): 1.35%
    Grixis (UBR): 1.1%
    Naya (RGW): 0.84%
    Growth (WUBG): 0.71%
    Aggression (WBRG): 0.58%
    Artifice (WUBR): 0.58%
    Abzan (WBG): 0.58%
    Golgari (BG): 0.52%
    Mono Green: 0.39%
    Altruism (WURG): 0.32%
    Chaos (UBRG): 0.32%
    Sultai (BGU): 0.32%
~~~~~Ramp~~~~~
    Mono Green: 13.57%
    Simic (GU): 12.44%
    Gruul (RG): 11.21%
    Temur (GUR): 6.9%
    Golgari (BG): 5.96%
    Jund (BRG): 5.72%
    Five Color (WUBRG): 5.51%
    Naya (RGW): 5.37%
    Sultai (BGU): 4.9%
    Selesnya (GW): 4.1%
    Altruism (WURG): 3.04%
    Bant (GWU): 2.17%
    Mono Black: 2.05%
    Mono Red: 1.91%
    Mono Blue: 1.67%
    Rakdos (BR): 1.67%
    Izzet (UR): 1.27%
    Abzan (WBG): 0.99%
    Boros (RW): 0.8%
    Mono White: 0.73%
    Dimir (UB): 0.71%
    Chaos (UBRG): 0.66%
    Azorius (WU) : 0.64%
    Growth (WUBG): 0.59%
    Grixis (UBR): 0.57%
    Esper (WUB): 0.54%
    Mardu (RWB): 0.42%
    Aggression (WBRG): 0.38%
    Jeskai (URW): 0.38%
    Orzhov (WB): 0.38%
    Artifice (WUBR): 0.26%
~~~~~Blink / Flicker~~~~~
    Azorius (WU) : 21.32%
    Esper (WUB): 11.77%
    Bant (GWU): 9.26%
    Grixis (UBR): 4.58%
    Five Color (WUBRG): 4.52%
    Selesnya (GW): 3.79%
    Mono Blue: 3.57%
    Simic (GU): 3.4%
    Sultai (BGU): 3.4%
    Dimir (UB): 3.24%
    Orzhov (WB): 2.96%
    Mono White: 2.68%
    Jeskai (URW): 2.62%
    Boros (RW): 2.4%
    Altruism (WURG): 2.23%
    Artifice (WUBR): 2.12%
    Mardu (RWB): 1.9%
    Temur (GUR): 1.84%
    Abzan (WBG): 1.84%
    Mono Red: 1.23%
    Mono Black: 1.12%
    Rakdos (BR): 1.06%
    Naya (RGW): 1.06%
    Izzet (UR): 0.89%
    Growth (WUBG): 0.61%
    Aggression (WBRG): 0.45%
    Mono Green: 0.39%
    Chaos (UBRG): 0.39%
    Golgari (BG): 0.39%
    Jund (BRG): 0.28%
    Gruul (RG): 0.28%
~~~~~Toolbox~~~~~
    Five Color (WUBRG): 14.0%
    Sultai (BGU): 7.12%
    Selesnya (GW): 5.28%
    Mono Green: 4.63%
    Abzan (WBG): 4.63%
    Naya (RGW): 4.21%
    Golgari (BG): 4.03%
    Jund (BRG): 3.91%
    Mono Red: 3.8%
    Simic (GU): 3.74%
    Esper (WUB): 3.68%
    Mono White: 3.44%
    Boros (RW): 3.32%
    Bant (GWU): 3.26%
    Mardu (RWB): 3.2%
    Dimir (UB): 2.91%
    Mono Black: 2.91%
    Grixis (UBR): 2.61%
    Azorius (WU) : 2.49%
    Mono Blue: 2.37%
    Temur (GUR): 2.25%
    Rakdos (BR): 2.19%
    Growth (WUBG): 1.9%
    Izzet (UR): 1.78%
    Altruism (WURG): 1.54%
    Orzhov (WB): 1.42%
    Aggression (WBRG): 1.36%
    Jeskai (URW): 1.3%
    Artifice (WUBR): 1.25%
    Gruul (RG): 1.25%
    Chaos (UBRG): 0.77%
~~~~~Thieves~~~~~
    Dimir (UB): 22.65%
    Grixis (UBR): 18.82%
    Esper (WUB): 8.77%
    Mono Black: 6.86%
    Mono Blue: 5.9%
    Rakdos (BR): 5.1%
    Temur (GUR): 5.1%
    Izzet (UR): 4.47%
    Mono Red: 3.83%
    Boros (RW): 2.23%
    Simic (GU): 2.23%
    Azorius (WU) : 2.07%
    Five Color (WUBRG): 2.07%
    Jeskai (URW): 1.75%
    Sultai (BGU): 1.75%
    Mardu (RWB): 1.59%
    Jund (BRG): 1.44%
    Chaos (UBRG): 1.28%
    Artifice (WUBR): 1.28%
    Orzhov (WB): 1.12%
    Bant (GWU): 1.12%
    Naya (RGW): 0.8%
    Gruul (RG): 0.8%
    Altruism (WURG): 0.64%
    Mono Green: 0.64%
    Growth (WUBG): 0.64%
    Golgari (BG): 0.64%
    Abzan (WBG): 0.64%
    Aggression (WBRG): 0.48%
    Mono White: 0.48%
    Selesnya (GW): 0.48%
~~~~~Control~~~~~
    Azorius (WU) : 9.97%
    Mono Blue: 9.55%
    Esper (WUB): 8.55%
    Dimir (UB): 8.08%
    Grixis (UBR): 6.57%
    Izzet (UR): 5.13%
    Mono Black: 4.97%
    Sultai (BGU): 4.49%
    Jeskai (URW): 4.47%
    Simic (GU): 3.9%
    Five Color (WUBRG): 3.37%
    Bant (GWU): 2.95%
    Mardu (RWB): 2.84%
    Orzhov (WB): 2.26%
    Rakdos (BR): 2.13%
    Golgari (BG): 1.86%
    Temur (GUR): 1.86%
    Mono White: 1.57%
    Growth (WUBG): 1.21%
    Boros (RW): 1.16%
    Mono Red: 1.13%
    Selesnya (GW): 0.9%
    Jund (BRG): 0.84%
    Artifice (WUBR): 0.77%
    Chaos (UBRG): 0.73%
    Naya (RGW): 0.69%
    Mono Green: 0.68%
    Abzan (WBG): 0.6%
    Gruul (RG): 0.56%
    Altruism (WURG): 0.47%
    Aggression (WBRG): 0.16%
~~~~~Tokens~~~~~
    Golgari (BG): 9.62%
    Naya (RGW): 6.68%
    Selesnya (GW): 6.29%
    Simic (GU): 4.99%
    Mono Red: 4.93%
    Orzhov (WB): 4.16%
    Mardu (RWB): 3.91%
    Dimir (UB): 3.9%
    Gruul (RG): 3.86%
    Mono White: 3.54%
    Jund (BRG): 3.47%
    Temur (GUR): 3.41%
    Esper (WUB): 3.11%
    Azorius (WU) : 3.1%
    Rakdos (BR): 3.06%
    Izzet (UR): 3.03%
    Five Color (WUBRG): 2.66%
    Mono Black: 2.65%
    Boros (RW): 2.39%
    Mono Blue: 2.33%
    Mono Green: 2.28%
    Jeskai (URW): 2.1%
    Abzan (WBG): 1.96%
    Sultai (BGU): 1.74%
    Grixis (UBR): 1.27%
    Artifice (WUBR): 1.08%
    Bant (GWU): 0.75%
    Aggression (WBRG): 0.55%
    Altruism (WURG): 0.45%
    Growth (WUBG): 0.31%
    Chaos (UBRG): 0.15%
~~~~~Devotion~~~~~
    Mono Black: 33.68%
    Mono Green: 19.54%
    Five Color (WUBRG): 9.51%
    Mono Blue: 9.25%
    Mono White: 7.46%
    Dimir (UB): 3.86%
    Mono Red: 3.6%
    Selesnya (GW): 3.34%
    Golgari (BG): 3.08%
    Boros (RW): 2.57%
    Rakdos (BR): 2.57%
    Simic (GU): 2.57%
    Orzhov (WB): 2.57%
    Bant (GWU): 2.31%
    Azorius (WU) : 2.06%
    Esper (WUB): 1.8%
    Grixis (UBR): 1.8%
    Gruul (RG): 1.8%
    Aggression (WBRG): 1.54%
    Altruism (WURG): 1.54%
    Izzet (UR): 1.54%
    Abzan (WBG): 1.54%
    Naya (RGW): 1.54%
    Jund (BRG): 1.29%
    Growth (WUBG): 1.29%
    Chaos (UBRG): 1.29%
    Mardu (RWB): 1.29%
    Jeskai (URW): 1.29%
    Temur (GUR): 1.29%
    Sultai (BGU): 1.29%
    Artifice (WUBR): 1.03%
~~~~~Tempo~~~~~
    Dimir (UB): 10.44%
    Mono Blue: 7.25%
    Izzet (UR): 6.96%
    Five Color (WUBRG): 6.89%
    Esper (WUB): 5.66%
    Azorius (WU) : 5.22%
    Jeskai (URW): 5.15%
    Simic (GU): 5.15%
    Temur (GUR): 4.71%
    Bant (GWU): 3.7%
    Sultai (BGU): 3.48%
    Grixis (UBR): 3.34%
    Mono Green: 3.05%
    Mardu (RWB): 2.97%
    Rakdos (BR): 2.83%
    Gruul (RG): 2.76%
    Selesnya (GW): 2.61%
    Mono Black: 2.54%
    Golgari (BG): 2.39%
    Orzhov (WB): 2.25%
    Mono Red: 2.18%
    Mono White: 2.1%
    Boros (RW): 2.03%
    Naya (RGW): 1.81%
    Aggression (WBRG): 1.31%
    Altruism (WURG): 1.31%
    Artifice (WUBR): 1.16%
    Growth (WUBG): 1.09%
    Abzan (WBG): 1.02%
    Jund (BRG): 0.87%
    Chaos (UBRG): 0.8%
~~~~~Tribal~~~~~
    Five Color (WUBRG): 10.06%
    Dimir (UB): 9.6%
    Golgari (BG): 5.92%
    Mardu (RWB): 5.4%
    Mono Red: 4.54%
    Selesnya (GW): 4.4%
    Mono Green: 4.02%
    Rakdos (BR): 3.9%
    Naya (RGW): 3.82%
    Gruul (RG): 3.65%
    Mono Black: 3.3%
    Mono White: 3.1%
    Temur (GUR): 2.98%
    Grixis (UBR): 2.85%
    Orzhov (WB): 2.82%
    Simic (GU): 2.52%
    Izzet (UR): 2.44%
    Mono Blue: 2.23%
    Esper (WUB): 2.19%
    Azorius (WU) : 2.02%
    Sultai (BGU): 1.71%
    Boros (RW): 1.7%
    Bant (GWU): 1.43%
    Abzan (WBG): 1.19%
    Jund (BRG): 1.17%
    Aggression (WBRG): 0.54%
    Jeskai (URW): 0.45%
    Growth (WUBG): 0.37%
    Altruism (WURG): 0.21%
    Artifice (WUBR): 0.19%
    Chaos (UBRG): 0.14%
~~~~~Life Gain~~~~~
    Orzhov (WB): 20.38%
    Mono White: 11.7%
    Selesnya (GW): 11.06%
    Golgari (BG): 10.68%
    Mono Black: 9.25%
    Esper (WUB): 6.53%
    Mardu (RWB): 4.87%
    Abzan (WBG): 3.61%
    Boros (RW): 2.45%
    Rakdos (BR): 2.21%
    Azorius (WU) : 1.63%
    Naya (RGW): 1.36%
    Bant (GWU): 1.22%
