~~~~~+1/+1 Counters~~~~~
    Aggression (WBRG): 82
~~~~~Midrange~~~~~
    Five Color (WUBRG): 317
    Sultai (BGU): 279
    Simic (GU): 252
    Golgari (BG): 246
    Dimir (UB): 223
    Esper (WUB): 221
    Grixis (UBR): 217
    Temur (GUR): 215
    Mardu (RWB): 193
    Gruul (RG): 189
    Jund (BRG): 182
    Rakdos (BR): 182
    Abzan (WBG): 173
    Mono Black: 167
    Orzhov (WB): 165
    Bant (GWU): 161
    Selesnya (GW): 151
    Izzet (UR): 147
    Naya (RGW): 147
    Azorius (WU) : 142
    Mono Green: 122
    Growth (WUBG): 108
    Boros (RW): 103
    Mono Blue: 101
    Jeskai (URW): 99
    Mono White: 89
    Mono Red: 85
    Artifice (WUBR): 64
    Altruism (WURG): 62
    Chaos (UBRG): 61
    Aggression (WBRG): 38
~~~~~Voltron~~~~~
    Boros (RW): 437
    Mono White: 309
    Bant (GWU): 251
    Mardu (RWB): 191
    Selesnya (GW): 167
    Golgari (BG): 164
    Mono Green: 161
    Azorius (WU) : 146
    Mono Red: 131
    Jeskai (URW): 129
    Naya (RGW): 112
    Gruul (RG): 109
    Orzhov (WB): 94
    Izzet (UR): 92
    Mono Black: 91
    Rakdos (BR): 87
    Esper (WUB): 86
    Temur (GUR): 86
    Sultai (BGU): 85
    Mono Blue: 73
    Jund (BRG): 71
    Grixis (UBR): 71
    Dimir (UB): 67
    Simic (GU): 58
    Five Color (WUBRG): 57
    Abzan (WBG): 54
    Artifice (WUBR): 18
    Growth (WUBG): 14
    Aggression (WBRG): 12
    Altruism (WURG): 8
    Chaos (UBRG): 8
~~~~~Dredge~~~~~
    Golgari (BG): 213
    Sultai (BGU): 122
    Abzan (WBG): 74
    Jund (BRG): 34
    Dimir (UB): 33
    Mono Black: 25
    Rakdos (BR): 18
    Simic (GU): 17
    Grixis (UBR): 13
    Five Color (WUBRG): 10
    Mardu (RWB): 9
    Orzhov (WB): 9
    Mono Green: 8
    Mono Blue: 7
    Esper (WUB): 7
    Gruul (RG): 7
    Growth (WUBG): 6
    Mono Red: 6
    Jeskai (URW): 6
    Selesnya (GW): 6
    Aggression (WBRG): 5
    Altruism (WURG): 5
    Chaos (UBRG): 5
    Azorius (WU) : 5
    Boros (RW): 5
    Izzet (UR): 5
    Naya (RGW): 5
    Bant (GWU): 5
    Artifice (WUBR): 4
    Temur (GUR): 4
    Mono White: 4
~~~~~Extra Turns~~~~~
    Simic (GU): 137
    Mono Blue: 127
    Dimir (UB): 106
    Esper (WUB): 105
    Grixis (UBR): 100
    Azorius (WU) : 92
    Izzet (UR): 75
    Temur (GUR): 75
    Jeskai (URW): 69
    Five Color (WUBRG): 51
    Artifice (WUBR): 31
    Boros (RW): 28
    Bant (GWU): 25
    Chaos (UBRG): 18
    Sultai (BGU): 15
    Rakdos (BR): 11
    Altruism (WURG): 10
    Growth (WUBG): 10
    Mono Black: 10
    Mardu (RWB): 9
    Aggression (WBRG): 8
    Selesnya (GW): 8
    Mono Red: 7
    Golgari (BG): 7
    Orzhov (WB): 6
    Jund (BRG): 5
    Mono White: 5
    Abzan (WBG): 5
    Naya (RGW): 5
    Mono Green: 4
    Gruul (RG): 4
~~~~~Infect~~~~~
    Mono Green: 121
    Growth (WUBG): 86
    Mono Black: 77
    Sultai (BGU): 75
    Golgari (BG): 73
    Simic (GU): 54
    Dimir (UB): 51
    Rakdos (BR): 35
    Grixis (UBR): 32
    Mono Blue: 30
    Bant (GWU): 25
    Jund (BRG): 23
    Aggression (WBRG): 22
    Mardu (RWB): 19
    Esper (WUB): 19
    Five Color (WUBRG): 18
    Boros (RW): 17
    Orzhov (WB): 15
    Selesnya (GW): 15
    Gruul (RG): 13
    Abzan (WBG): 12
    Temur (GUR): 11
    Naya (RGW): 10
    Azorius (WU) : 9
    Artifice (WUBR): 7
    Mono Red: 7
    Izzet (UR): 6
    Mono White: 6
    Chaos (UBRG): 5
    Altruism (WURG): 4
    Jeskai (URW): 4
~~~~~Artifacts~~~~~
    Boros (RW): 627
    Izzet (UR): 461
    Esper (WUB): 441
    Mono Blue: 414
    Azorius (WU) : 398
    Mono Red: 395
    Rakdos (BR): 274
    Artifice (WUBR): 250
    Mono White: 204
    Mardu (RWB): 200
    Golgari (BG): 150
    Dimir (UB): 142
    Grixis (UBR): 139
    Gruul (RG): 133
    Mono Black: 125
    Jeskai (URW): 125
    Simic (GU): 115
    Five Color (WUBRG): 105
    Jund (BRG): 99
    Orzhov (WB): 98
    Bant (GWU): 67
    Selesnya (GW): 46
    Temur (GUR): 44
    Mono Green: 40
    Sultai (BGU): 37
    Abzan (WBG): 30
    Naya (RGW): 24
    Aggression (WBRG): 20
    Growth (WUBG): 20
    Altruism (WURG): 17
    Chaos (UBRG): 13
~~~~~Auras~~~~~
    Bant (GWU): 197
    Mono White: 191
    Selesnya (GW): 124
    Gruul (RG): 80
    Boros (RW): 75
    Naya (RGW): 75
    Azorius (WU) : 74
    Orzhov (WB): 68
    Esper (WUB): 59
    Simic (GU): 56
    Mono Green: 40
    Grixis (UBR): 33
    Sultai (BGU): 28
    Mardu (RWB): 22
    Five Color (WUBRG): 22
    Jeskai (URW): 17
    Mono Blue: 16
    Golgari (BG): 16
    Abzan (WBG): 14
    Dimir (UB): 11
    Mono Red: 10
    Aggression (WBRG): 9
    Rakdos (BR): 9
    Jund (BRG): 8
    Izzet (UR): 8
    Temur (GUR): 7
    Mono Black: 6
    Altruism (WURG): 5
    Chaos (UBRG): 5
    Artifice (WUBR): 5
    Growth (WUBG): 4
~~~~~Burn~~~~~
    Mono Red: 522
    Rakdos (BR): 274
    Izzet (UR): 221
    Boros (RW): 137
    Gruul (RG): 136
    Jund (BRG): 99
    Grixis (UBR): 85
    Jeskai (URW): 51
    Dimir (UB): 48
    Mardu (RWB): 42
    Temur (GUR): 32
    Mono Black: 30
    Naya (RGW): 28
    Golgari (BG): 27
    Five Color (WUBRG): 25
    Orzhov (WB): 24
    Esper (WUB): 17
    Chaos (UBRG): 16
    Altruism (WURG): 15
    Artifice (WUBR): 13
    Sultai (BGU): 10
    Mono Green: 7
    Azorius (WU) : 7
    Mono Blue: 7
    Simic (GU): 7
    Aggression (WBRG): 6
    Bant (GWU): 6
    Mono White: 5
    Abzan (WBG): 5
    Selesnya (GW): 5
    Growth (WUBG): 4
~~~~~Colorless~~~~~
    Five Color (WUBRG): 27
    Izzet (UR): 24
    Mono Blue: 20
    Golgari (BG): 20
    Azorius (WU) : 18
    Boros (RW): 18
    Rakdos (BR): 18
    Mono Red: 15
    Dimir (UB): 13
    Esper (WUB): 13
    Simic (GU): 12
    Mono White: 12
    Artifice (WUBR): 11
    Temur (GUR): 10
    Mono Green: 9
    Mono Black: 8
    Mardu (RWB): 8
    Gruul (RG): 8
    Jund (BRG): 7
    Grixis (UBR): 7
    Orzhov (WB): 7
    Bant (GWU): 7
    Aggression (WBRG): 6
    Abzan (WBG): 6
    Sultai (BGU): 6
    Altruism (WURG): 5
    Growth (WUBG): 5
    Chaos (UBRG): 5
    Jeskai (URW): 5
    Naya (RGW): 5
    Selesnya (GW): 5
~~~~~Enchantments~~~~~
    Selesnya (GW): 447
    Five Color (WUBRG): 389
    Bant (GWU): 383
    Esper (WUB): 323
    Mono White: 173
    Sultai (BGU): 147
    Abzan (WBG): 145
    Azorius (WU) : 137
    Mardu (RWB): 121
    Orzhov (WB): 115
    Naya (RGW): 115
    Gruul (RG): 86
    Grixis (UBR): 84
    Simic (GU): 82
    Boros (RW): 60
    Jeskai (URW): 55
    Mono Green: 48
    Golgari (BG): 44
    Growth (WUBG): 39
    Mono Black: 39
    Rakdos (BR): 38
    Dimir (UB): 35
    Mono Blue: 28
    Jund (BRG): 27
    Mono Red: 25
    Aggression (WBRG): 16
    Altruism (WURG): 16
    Izzet (UR): 16
    Temur (GUR): 13
    Chaos (UBRG): 9
    Artifice (WUBR): 7
~~~~~Equipment~~~~~
    Boros (RW): 488
    Mardu (RWB): 258
    Mono White: 159
    Bant (GWU): 156
    Mono Red: 114
    Selesnya (GW): 105
    Gruul (RG): 82
    Azorius (WU) : 58
    Esper (WUB): 58
    Grixis (UBR): 56
    Jeskai (URW): 54
    Mono Green: 52
    Naya (RGW): 52
    Mono Black: 41
    Mono Blue: 38
    Golgari (BG): 38
    Orzhov (WB): 38
    Izzet (UR): 33
    Five Color (WUBRG): 22
    Dimir (UB): 19
    Rakdos (BR): 18
    Aggression (WBRG): 16
    Artifice (WUBR): 16
    Temur (GUR): 15
    Abzan (WBG): 15
    Jund (BRG): 12
    Simic (GU): 12
    Altruism (WURG): 9
    Sultai (BGU): 7
    Growth (WUBG): 6
    Chaos (UBRG): 6
~~~~~Extra Combats~~~~~
    Gruul (RG): 217
    Mono Red: 160
    Boros (RW): 156
    Mardu (RWB): 133
    Five Color (WUBRG): 128
    Rakdos (BR): 54
    Naya (RGW): 49
    Jeskai (URW): 44
    Temur (GUR): 42
    Izzet (UR): 41
    Grixis (UBR): 30
    Aggression (WBRG): 28
    Jund (BRG): 28
    Altruism (WURG): 10
    Artifice (WUBR): 9
    Esper (WUB): 8
    Bant (GWU): 7
    Selesnya (GW): 7
    Mono Green: 6
    Mono Black: 6
    Mono Blue: 6
    Simic (GU): 6
    Orzhov (WB): 6
    Dimir (UB): 5
    Azorius (WU) : 5
    Mono White: 5
    Abzan (WBG): 5
    Growth (WUBG): 4
    Chaos (UBRG): 4
    Golgari (BG): 4
    Sultai (BGU): 4
~~~~~Flying~~~~~
    Azorius (WU) : 271
    Five Color (WUBRG): 176
    Esper (WUB): 165
    Mono White: 131
    Mono Blue: 97
    Mardu (RWB): 91
    Temur (GUR): 88
    Orzhov (WB): 66
    Izzet (UR): 65
    Jeskai (URW): 53
    Rakdos (BR): 48
    Gruul (RG): 40
    Bant (GWU): 38
    Dimir (UB): 35
    Boros (RW): 32
    Mono Red: 28
    Mono Black: 23
    Simic (GU): 23
    Selesnya (GW): 23
    Jund (BRG): 21
    Grixis (UBR): 17
    Naya (RGW): 13
    Growth (WUBG): 11
    Aggression (WBRG): 9
    Artifice (WUBR): 9
    Abzan (WBG): 9
    Golgari (BG): 8
    Mono Green: 6
    Altruism (WURG): 5
    Chaos (UBRG): 5
    Sultai (BGU): 5
~~~~~Ramp~~~~~
    Mono Green: 576
    Simic (GU): 528
    Gruul (RG): 476
    Temur (GUR): 293
    Golgari (BG): 253
    Jund (BRG): 243
    Five Color (WUBRG): 234
    Naya (RGW): 228
    Sultai (BGU): 208
    Selesnya (GW): 174
    Altruism (WURG): 129
    Bant (GWU): 92
    Mono Black: 87
    Mono Red: 81
    Mono Blue: 71
    Rakdos (BR): 71
    Izzet (UR): 54
    Abzan (WBG): 42
    Boros (RW): 34
    Mono White: 31
    Dimir (UB): 30
    Chaos (UBRG): 28
    Azorius (WU) : 27
    Growth (WUBG): 25
    Grixis (UBR): 24
    Esper (WUB): 23
    Mardu (RWB): 18
    Aggression (WBRG): 16
    Jeskai (URW): 16
    Orzhov (WB): 16
    Artifice (WUBR): 11
~~~~~Blink / Flicker~~~~~
    Azorius (WU) : 382
    Esper (WUB): 211
    Bant (GWU): 166
    Grixis (UBR): 82
    Five Color (WUBRG): 81
    Selesnya (GW): 68
    Mono Blue: 64
    Simic (GU): 61
    Sultai (BGU): 61
    Dimir (UB): 58
    Orzhov (WB): 53
    Mono White: 48
    Jeskai (URW): 47
    Boros (RW): 43
    Altruism (WURG): 40
    Artifice (WUBR): 38
    Mardu (RWB): 34
    Temur (GUR): 33
    Abzan (WBG): 33
    Mono Red: 22
    Mono Black: 20
    Rakdos (BR): 19
    Naya (RGW): 19
    Izzet (UR): 16
    Growth (WUBG): 11
    Aggression (WBRG): 8
    Mono Green: 7
    Chaos (UBRG): 7
    Golgari (BG): 7
    Jund (BRG): 5
    Gruul (RG): 5
~~~~~Toolbox~~~~~
    Five Color (WUBRG): 236
    Sultai (BGU): 120
    Selesnya (GW): 89
    Mono Green: 78
    Abzan (WBG): 78
    Naya (RGW): 71
    Golgari (BG): 68
    Jund (BRG): 66
    Mono Red: 64
    Simic (GU): 63
    Esper (WUB): 62
    Mono White: 58
    Boros (RW): 56
    Bant (GWU): 55
    Mardu (RWB): 54
    Dimir (UB): 49
    Mono Black: 49
    Grixis (UBR): 44
    Azorius (WU) : 42
    Mono Blue: 40
    Temur (GUR): 38
    Rakdos (BR): 37
    Growth (WUBG): 32
    Izzet (UR): 30
    Altruism (WURG): 26
    Orzhov (WB): 24
    Aggression (WBRG): 23
    Jeskai (URW): 22
    Artifice (WUBR): 21
    Gruul (RG): 21
    Chaos (UBRG): 13
~~~~~Thieves~~~~~
    Dimir (UB): 142
    Grixis (UBR): 118
    Esper (WUB): 55
    Mono Black: 43
    Mono Blue: 37
    Rakdos (BR): 32
    Temur (GUR): 32
    Izzet (UR): 28
    Mono Red: 24
    Boros (RW): 14
    Simic (GU): 14
    Azorius (WU) : 13
    Five Color (WUBRG): 13
    Jeskai (URW): 11
    Sultai (BGU): 11
    Mardu (RWB): 10
    Jund (BRG): 9
    Chaos (UBRG): 8
    Artifice (WUBR): 8
    Orzhov (WB): 7
    Bant (GWU): 7
    Naya (RGW): 5
    Gruul (RG): 5
    Altruism (WURG): 4
    Mono Green: 4
    Growth (WUBG): 4
    Golgari (BG): 4
    Abzan (WBG): 4
    Aggression (WBRG): 3
    Mono White: 3
    Selesnya (GW): 3
~~~~~Control~~~~~
    Azorius (WU) : 618
    Mono Blue: 592
    Esper (WUB): 530
    Dimir (UB): 501
    Grixis (UBR): 407
    Izzet (UR): 318
    Mono Black: 308
    Sultai (BGU): 278
    Jeskai (URW): 277
    Simic (GU): 242
    Five Color (WUBRG): 209
    Bant (GWU): 183
    Mardu (RWB): 176
    Orzhov (WB): 140
    Rakdos (BR): 132
    Golgari (BG): 115
    Temur (GUR): 115
    Mono White: 97
    Growth (WUBG): 75
    Boros (RW): 72
    Mono Red: 70
    Selesnya (GW): 56
    Jund (BRG): 52
    Artifice (WUBR): 48
    Chaos (UBRG): 45
    Naya (RGW): 43
    Mono Green: 42
    Abzan (WBG): 37
    Gruul (RG): 35
    Altruism (WURG): 29
    Aggression (WBRG): 10
~~~~~Tokens~~~~~
    Golgari (BG): 872
    Naya (RGW): 605
    Selesnya (GW): 570
    Simic (GU): 452
    Mono Red: 447
    Orzhov (WB): 377
    Mardu (RWB): 354
    Dimir (UB): 353
    Gruul (RG): 350
    Mono White: 321
    Jund (BRG): 314
    Temur (GUR): 309
    Esper (WUB): 282
    Azorius (WU) : 281
    Rakdos (BR): 277
    Izzet (UR): 275
    Five Color (WUBRG): 241
    Mono Black: 240
    Boros (RW): 217
    Mono Blue: 211
    Mono Green: 207
    Jeskai (URW): 190
    Abzan (WBG): 178
    Sultai (BGU): 158
    Grixis (UBR): 115
    Artifice (WUBR): 98
    Bant (GWU): 68
    Aggression (WBRG): 50
    Altruism (WURG): 41
    Growth (WUBG): 28
    Chaos (UBRG): 14
~~~~~Devotion~~~~~
    Mono Black: 131
    Mono Green: 76
    Five Color (WUBRG): 37
    Mono Blue: 36
    Mono White: 29
    Dimir (UB): 15
    Mono Red: 14
    Selesnya (GW): 13
    Golgari (BG): 12
    Boros (RW): 10
    Rakdos (BR): 10
    Simic (GU): 10
    Orzhov (WB): 10
    Bant (GWU): 9
    Azorius (WU) : 8
    Esper (WUB): 7
    Grixis (UBR): 7
    Gruul (RG): 7
    Aggression (WBRG): 6
    Altruism (WURG): 6
    Izzet (UR): 6
    Abzan (WBG): 6
    Naya (RGW): 6
    Jund (BRG): 5
    Growth (WUBG): 5
    Chaos (UBRG): 5
    Mardu (RWB): 5
    Jeskai (URW): 5
    Temur (GUR): 5
    Sultai (BGU): 5
    Artifice (WUBR): 4
~~~~~Tempo~~~~~
    Dimir (UB): 144
    Mono Blue: 100
    Izzet (UR): 96
    Five Color (WUBRG): 95
    Esper (WUB): 78
    Azorius (WU) : 72
    Jeskai (URW): 71
    Simic (GU): 71
    Temur (GUR): 65
    Bant (GWU): 51
    Sultai (BGU): 48
    Grixis (UBR): 46
    Mono Green: 42
    Mardu (RWB): 41
    Rakdos (BR): 39
    Gruul (RG): 38
    Selesnya (GW): 36
    Mono Black: 35
    Golgari (BG): 33
    Orzhov (WB): 31
    Mono Red: 30
    Mono White: 29
    Boros (RW): 28
    Naya (RGW): 25
    Aggression (WBRG): 18
    Altruism (WURG): 18
    Artifice (WUBR): 16
    Growth (WUBG): 15
    Abzan (WBG): 14
    Jund (BRG): 12
    Chaos (UBRG): 11
~~~~~Tribal~~~~~
    Five Color (WUBRG): 1247
    Dimir (UB): 1191
    Golgari (BG): 734
    Mardu (RWB): 670
    Mono Red: 563
    Selesnya (GW): 545
    Mono Green: 499
    Rakdos (BR): 483
    Naya (RGW): 474
    Gruul (RG): 453
    Mono Black: 409
    Mono White: 385
    Temur (GUR): 369
    Grixis (UBR): 353
    Orzhov (WB): 350
    Simic (GU): 313
    Izzet (UR): 303
    Mono Blue: 277
    Esper (WUB): 272
    Azorius (WU) : 251
    Sultai (BGU): 212
    Boros (RW): 211
    Bant (GWU): 177
    Abzan (WBG): 147
    Jund (BRG): 145
    Aggression (WBRG): 67
    Jeskai (URW): 56
    Growth (WUBG): 46
    Altruism (WURG): 26
    Artifice (WUBR): 24
    Chaos (UBRG): 17
~~~~~Life Gain~~~~~
    Orzhov (WB): 599
    Mono White: 344
    Selesnya (GW): 325
    Golgari (BG): 314
    Mono Black: 272
    Esper (WUB): 192
    Mardu (RWB): 143
    Abzan (WBG): 106
    Boros (RW): 72
    Rakdos (BR): 65
    Azorius (WU) : 48
    Naya (RGW): 40
    Bant (GWU): 36
    Five Color (WUBRG): 34
    Aggression (WBRG): 26
    Jeskai (URW): 24
    Sultai (BGU): 24
    Growth (WUBG): 22
    Altruism (WURG): 21
    Mono Green: 19
    Jund (BRG): 17
    Dimir (UB): 17
    Grixis (UBR): 15
    Simic (GU): 14
    Gruul (RG): 13
    Artifice (WUBR): 9
    Mono Red: 8
    Izzet (UR): 8
    Chaos (UBRG): 7
    Mono Blue: 7
    Temur (GUR): 7
~~~~~Farm~~~~~
    Mardu (RWB): 91
    Esper (WUB): 63
    Artifice (WUBR): 57
    Jund (BRG): 46
    Grixis (UBR): 42
    Golgari (BG): 35
    Orzhov (WB): 34
    Rakdos (BR): 31
    Dimir (UB): 29
    Abzan (WBG): 29
    Five Color (WUBRG): 25
    Aggression (WBRG): 20
    Growth (WUBG): 19
    Chaos (UBRG): 19
    Simic (GU): 18
    Sultai (BGU): 18
    Mono Black: 17
    Mono Blue: 14
    Izzet (UR): 14
    Temur (GUR): 14
    Gruul (RG): 14
    Mono Red: 13
    Mono Green: 12
    Bant (GWU): 11
    Selesnya (GW): 11
    Azorius (WU) : 10
    Mono White: 9
    Naya (RGW): 8
    Altruism (WURG): 6
    Boros (RW): 6
    Jeskai (URW): 6
~~~~~Goodstuff~~~~~
    Five Color (WUBRG): 364
    Simic (GU): 144
    Sultai (BGU): 132
    Mono Black: 104
    Temur (GUR): 100
    Esper (WUB): 98
    Grixis (UBR): 95
    Jund (BRG): 91
    Dimir (UB): 88
    Golgari (BG): 87
    Mono Green: 82
    Mardu (RWB): 81
    Naya (RGW): 80
    Selesnya (GW): 74
    Rakdos (BR): 70
    Gruul (RG): 69
    Abzan (WBG): 65
    Mono Blue: 56
    Izzet (UR): 56
    Orzhov (WB): 56
    Bant (GWU): 55
    Mono White: 54
    Boros (RW): 51
    Growth (WUBG): 45
    Azorius (WU) : 42
    Artifice (WUBR): 36
    Mono Red: 36
    Jeskai (URW): 32
    Chaos (UBRG): 29
    Altruism (WURG): 22
    Aggression (WBRG): 20
~~~~~Stax~~~~~
    Azorius (WU) : 292
    Mono White: 251
    Esper (WUB): 228
    Boros (RW): 205
    Selesnya (GW): 173
    Orzhov (WB): 167
    Naya (RGW): 131
    Bant (GWU): 131
    Abzan (WBG): 130
    Mono Blue: 118
    Five Color (WUBRG): 115
    Mardu (RWB): 98
    Mono Red: 95
    Gruul (RG): 94
    Mono Black: 86
    Golgari (BG): 84
    Sultai (BGU): 62
    Aggression (WBRG): 54
    Jeskai (URW): 51
    Rakdos (BR): 46
    Mono Green: 45
    Dimir (UB): 42
    Jund (BRG): 34
    Grixis (UBR): 32
    Izzet (UR): 31
    Simic (GU): 25
    Growth (WUBG): 23
    Artifice (WUBR): 21
    Altruism (WURG): 13
    Temur (GUR): 9
    Chaos (UBRG): 6
~~~~~Spellslinger~~~~~
    Izzet (UR): 844
    Grixis (UBR): 414
    Jeskai (URW): 354
    Mono Blue: 283
    Temur (GUR): 193
    Boros (RW): 180
    Mono Red: 167
    Azorius (WU) : 117
    Rakdos (BR): 112
    Five Color (WUBRG): 98
    Gruul (RG): 88
    Dimir (UB): 82
    Simic (GU): 80
    Mono Black: 75
    Chaos (UBRG): 55
    Mardu (RWB): 45
    Esper (WUB): 29
    Bant (GWU): 29
    Sultai (BGU): 27
    Artifice (WUBR): 20
    Mono Green: 19
    Golgari (BG): 18
    Altruism (WURG): 17
    Orzhov (WB): 17
    Jund (BRG): 16
    Naya (RGW): 14
    Mono White: 11
    Selesnya (GW): 9
    Growth (WUBG): 8
    Aggression (WBRG): 5
    Abzan (WBG): 5
~~~~~Storm~~~~~
    Izzet (UR): 531
    Grixis (UBR): 213
    Mono Red: 200
    Jeskai (URW): 194
    Mono Green: 130
    Rakdos (BR): 125
    Mono Black: 122
    Mono Blue: 110
    Temur (GUR): 102
    Five Color (WUBRG): 94
    Simic (GU): 64
    Gruul (RG): 64
    Jund (BRG): 61
    Chaos (UBRG): 59
    Selesnya (GW): 44
    Mardu (RWB): 43
    Boros (RW): 36
    Artifice (WUBR): 36
    Golgari (BG): 35
    Bant (GWU): 30
    Dimir (UB): 28
    Azorius (WU) : 27
    Esper (WUB): 27
    Orzhov (WB): 24
    Altruism (WURG): 19
    Sultai (BGU): 19
    Mono White: 18
    Naya (RGW): 13
    Aggression (WBRG): 10
    Abzan (WBG): 10
    Growth (WUBG): 6
~~~~~Lands Matter~~~~~
    Simic (GU): 368
    Gruul (RG): 285
    Mono Green: 269
    Jund (BRG): 263
    Sultai (BGU): 225
    Altruism (WURG): 190
    Naya (RGW): 183
    Five Color (WUBRG): 162
    Golgari (BG): 146
    Temur (GUR): 139
    Selesnya (GW): 92
    Azorius (WU) : 51
    Bant (GWU): 45
    Mono Blue: 36
    Mono Black: 31
    Mono Red: 30
    Esper (WUB): 28
    Abzan (WBG): 24
    Aggression (WBRG): 21
    Chaos (UBRG): 18
    Izzet (UR): 15
    Dimir (UB): 14
    Rakdos (BR): 14
    Growth (WUBG): 13
    Boros (RW): 13
    Orzhov (WB): 12
    Mono White: 11
    Jeskai (URW): 10
    Grixis (UBR): 10
    Mardu (RWB): 8
    Artifice (WUBR): 7
~~~~~Discard~~~~~
    Mono Black: 369
    Rakdos (BR): 323
    Esper (WUB): 168
    Grixis (UBR): 159
    Dimir (UB): 152
    Golgari (BG): 85
    Mono Red: 77
    Izzet (UR): 66
    Jeskai (URW): 57
